match_id,date,home_team,away_team,status,actual_home_goals,actual_away_goals,actual_result_type,actual_first_goalscorer,actual_total_corners,actual_first_half_corners,actual_second_half_corners,source,last_updated
wc2026_m082,2026-07-01,1G,3A/E/H/I/J,scheduled,,,,,,,,,
wc2026_m083,2026-07-02,2K,2L,scheduled,,,,,,,,,
wc2026_m084,2026-07-02,1H,2J,scheduled,,,,,,,,,
wc2026_m085,2026-07-02,1B,3E/F/G/I/J,scheduled,,,,,,,,,
wc2026_m086,2026-07-03,1J,2H,scheduled,,,,,,,,,
wc2026_m087,2026-07-03,1K,3D/E/I/J/L,scheduled,,,,,,,,,
wc2026_m088,2026-07-03,2D,2G,scheduled,,,,,,,,,
wc2026_m089,2026-07-04,W74,W77,scheduled,,,,,,,,,
wc2026_m090,2026-07-04,W73,W75,scheduled,,,,,,,,,
wc2026_m091,2026-07-05,W76,W78,scheduled,,,,,,,,,
wc2026_m092,2026-07-05,W79,W80,scheduled,,,,,,,,,
wc2026_m093,2026-07-06,W83,W84,scheduled,,,,,,,,,
wc2026_m094,2026-07-06,W81,W82,scheduled,,,,,,,,,
wc2026_m095,2026-07-07,W86,W88,scheduled,,,,,,,,,
wc2026_m096,2026-07-07,W85,W87,scheduled,,,,,,,,,
wc2026_m097,2026-07-09,W89,W90,scheduled,,,,,,,,,
wc2026_m098,2026-07-10,W93,W94,scheduled,,,,,,,,,
wc2026_m099,2026-07-11,W91,W92,scheduled,,,,,,,,,
wc2026_m100,2026-07-11,W95,W96,scheduled,,,,,,,,,
wc2026_m101,2026-07-14,W97,W98,scheduled,,,,,,,,,
wc2026_m102,2026-07-15,W99,W100,scheduled,,,,,,,,,
wc2026_r103,2026-07-18,L101,L102,scheduled,,,,,,,,,
wc2026_r104,2026-07-19,W101,W102,scheduled,,,,,,,,,
