match_id,home_team,away_team,polymarket_market_id,polymarket_question,outcome_type,token_id,mapped_outcome,market_slug,market_liquidity,market_end_date,mapping_status,notes,timestamp,best_bid,best_ask,mid_price,spread,bid_depth,ask_depth,last_trade_price,price_fetch_status,model_prob,market_prob,edge,signal
wc2026_r026,Ivory Coast,Ecuador,1897064,Will Côte d'Ivoire win on 2026-06-14?,match_1x2,97954339861337592198517897825570585108397895633529524888621528267394350049120,home_win,fifwc-civ-ecu-2026-06-14-civ,144485.6496,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.26,0.27,0.265,0.010000000000000009,102129.43,183679.74999999997,0.26,ok,0.2135655621338522,0.27,-0.056434437866147824,Overpriced
wc2026_r026,Ivory Coast,Ecuador,1897065,Will Côte d'Ivoire vs. Ecuador end in a draw?,match_1x2,51076507708274140524034686501213174543010993864036676754773732528820025061669,draw,fifwc-civ-ecu-2026-06-14-draw,131665.9753,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.33,0.34,0.335,0.010000000000000009,124563.92000000001,142017.35,0.66,ok,0.3042623766449854,0.34,-0.035737623355014625,No Bet
wc2026_r026,Ivory Coast,Ecuador,1897066,Will Ecuador win on 2026-06-14?,match_1x2,28508563298912772074214719307109307518904085025750423135797235005006783326548,away_win,fifwc-civ-ecu-2026-06-14-ecu,164084.6897,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.39,0.4,0.395,0.010000000000000009,125529.87,225070.96000000002,0.6,ok,0.4821720612211623,0.4,0.08217206122116227,Strong Value
wc2026_r043,Spain,Cape Verde,1897070,Will Spain win on 2026-06-15?,match_1x2,3612393435281522540359979834655761894598376313180591710384535406994913064931,home_win,fifwc-esp-cvi-2026-06-15-esp,89414.8642,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.9,0.91,0.905,0.010000000000000009,109989.87,223703.99,0.09,ok,0.7521634141852025,0.91,-0.15783658581479754,Overpriced
wc2026_r043,Spain,Cape Verde,1897071,Will Spain vs. Cabo Verde end in a draw?,match_1x2,83072215710101175871081563765894926731657038656927257285040774204247563097609,draw,fifwc-esp-cvi-2026-06-15-draw,75452.83387,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.064,0.065,0.0645,0.0010000000000000009,214574.19999999998,80806.51999999999,0.935,ok,0.1239182929073987,0.065,0.058918292907398695,Watch
wc2026_r043,Spain,Cape Verde,1897072,Will Cabo Verde win on 2026-06-15?,match_1x2,85135836978485179530031184162395126176783303519695757365796392230161124240788,away_win,fifwc-esp-cvi-2026-06-15-cvi,98943.6382,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.032,0.033,0.0325,0.0010000000000000009,172580.41000000003,21214311.790000003,0.032,ok,0.1239182929073987,0.033,0.0909182929073987,Strong Value
wc2026_r049,France,Senegal,1897082,Will France win on 2026-06-16?,match_1x2,10541943766977992250149902475024620982770128161688998706490955791758263657916,home_win,fifwc-fra-sen-2026-06-16-fra,105631.8773,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.66,0.67,0.665,0.010000000000000009,100021.45000000001,160262.85,0.33,ok,0.6202132278951494,0.67,-0.04978677210485061,No Bet
wc2026_r049,France,Senegal,1897083,Will France vs. Senegal end in a draw?,match_1x2,1558773458881829509791065143596154799682035256543521797575065685839455307034,draw,fifwc-fra-sen-2026-06-16-draw,81015.0516,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.21,0.22,0.215,0.010000000000000009,85455.56,78201.02,0.78,ok,0.2534364207068288,0.22,0.03343642070682881,No Bet
wc2026_r049,France,Senegal,1897084,Will Senegal win on 2026-06-16?,match_1x2,68110647781535190797837703927589470479832774174814667833732459898847586979826,away_win,fifwc-fra-sen-2026-06-16-sen,116000.9263,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.12,0.13,0.125,0.010000000000000009,84239.68999999999,186437.54,0.12,ok,0.1263503513980218,0.13,-0.003649648601978195,No Bet
wc2026_r025,Germany,Curaçao,1897058,Will Germany win on 2026-06-14?,match_1x2,80258038883060787104700033663206548991173635281684057844048254140005841868705,home_win,fifwc-ger-kor-2026-06-14-ger,69635.51312,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.936,0.937,0.9365000000000001,0.0010000000000000009,99160.70999999999,242908.99999999997,0.063,ok,0.7282179526447295,0.937,-0.2087820473552705,Overpriced
