match_id,home_team,away_team,polymarket_market_id,polymarket_question,outcome_type,token_id,mapped_outcome,market_slug,market_liquidity,market_end_date,mapping_status,notes
wc2026_r014,Haiti,Scotland,1897054,Will Scotland win on 2026-06-13?,match_1x2,38620007602877950561785055194486422431765048561026651240000808038396318703092,away_win,fifwc-hai-sco-2026-06-13-sco,179803.7725,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r038,Iran,New Zealand,1897079,Will IR Iran win on 2026-06-15?,match_1x2,98258440478094610167729510800284333090952142769785486649204893493792445830714,home_win,fifwc-irn-nzl-2026-06-15-irn,144464.3761,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r038,Iran,New Zealand,1897080,Will IR Iran vs. New Zealand end in a draw?,match_1x2,81680331983186046997381955280648457847630354885398475637844800869325464253779,draw,fifwc-irn-nzl-2026-06-15-draw,80874.8748,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r038,Iran,New Zealand,1897081,Will New Zealand win on 2026-06-15?,match_1x2,55137687241393541361565001012865874102902217097342494894791514463933071353645,away_win,fifwc-irn-nzl-2026-06-15-nzl,86793.308,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r050,Iraq,Norway,1897085,Will Iraq win on 2026-06-16?,match_1x2,73942127055672070093762091576846712862472894975200730653926386031270714825841,home_win,fifwc-irq-nor-2026-06-16-irq,85856.9664,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r050,Iraq,Norway,1897086,Will Iraq vs. Norway end in a draw?,match_1x2,33611416347839198763745720789541666193855030736143138228415524192683636379208,draw,fifwc-irq-nor-2026-06-16-draw,83029.2968,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r050,Iraq,Norway,1897087,Will Norway win on 2026-06-16?,match_1x2,60561627760165737508115128719081450929284195423420376549887420810076954490283,away_win,fifwc-irq-nor-2026-06-16-nor,54355.6671,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r002,South Korea,Czechia,1897037,Will Korea Republic win on 2026-06-11?,match_1x2,52684921837049562400037353238223049293166344115053393981883920285480538360105,home_win,fifwc-kr-cze-2026-06-11-kr,842296.6463,2026-06-12,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r002,South Korea,Czechia,1897038,Will Korea Republic vs. Czechia end in a draw?,match_1x2,49396156480688770869378179133906823616889681020710122888263516916801618839975,draw,fifwc-kr-cze-2026-06-11-draw,741046.1586,2026-06-12,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r002,South Korea,Czechia,1897039,Will Czechia win on 2026-06-11?,match_1x2,77191186536909014586922022659322569099273509749066699749214305589630021269429,away_win,fifwc-kr-cze-2026-06-11-cze,325157.8795,2026-06-12,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r044,Saudi Arabia,Uruguay,1897076,Will Saudi Arabia win on 2026-06-15?,match_1x2,108315368637387262892957153811435904912510274825529229627147648105187493645849,home_win,fifwc-ksa-ury-2026-06-15-ksa,128548.3963,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r044,Saudi Arabia,Uruguay,1897077,Will Saudi Arabia vs. Uruguay end in a draw?,match_1x2,6109686258397883114797998126787263049884408157800816627628909717221408645880,draw,fifwc-ksa-ury-2026-06-15-draw,108939.9749,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
