match_id,date,group,round,home_team,away_team,home_code,away_code,polymarket_slug,gamma_api_url,event_url,sports_url,status
wc2026_r039,2026-06-21,Group G,Matchday 11,Belgium,Iran,bel,irn,fifwc-bel-irn-2026-06-21,https://gamma-api.polymarket.com/events/slug/fifwc-bel-irn-2026-06-21,https://polymarket.com/event/fifwc-bel-irn-2026-06-21#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-bel-irn-2026-06-21,candidate_needs_gamma_validation
wc2026_r040,2026-06-21,Group G,Matchday 11,New Zealand,Egypt,nzl,egy,fifwc-nzl-egy-2026-06-21,https://gamma-api.polymarket.com/events/slug/fifwc-nzl-egy-2026-06-21,https://polymarket.com/event/fifwc-nzl-egy-2026-06-21#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-nzl-egy-2026-06-21,candidate_needs_gamma_validation
wc2026_r041,2026-06-26,Group G,Matchday 16,Egypt,Iran,egy,irn,fifwc-egy-irn-2026-06-26,https://gamma-api.polymarket.com/events/slug/fifwc-egy-irn-2026-06-26,https://polymarket.com/event/fifwc-egy-irn-2026-06-26#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-egy-irn-2026-06-26,candidate_needs_gamma_validation
wc2026_r042,2026-06-26,Group G,Matchday 16,New Zealand,Belgium,nzl,bel,fifwc-nzl-bel-2026-06-26,https://gamma-api.polymarket.com/events/slug/fifwc-nzl-bel-2026-06-26,https://polymarket.com/event/fifwc-nzl-bel-2026-06-26#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-nzl-bel-2026-06-26,candidate_needs_gamma_validation
wc2026_r043,2026-06-15,Group H,Matchday 5,Spain,Cape Verde,esp,cpv,fifwc-esp-cpv-2026-06-15,https://gamma-api.polymarket.com/events/slug/fifwc-esp-cpv-2026-06-15,https://polymarket.com/event/fifwc-esp-cpv-2026-06-15#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-esp-cpv-2026-06-15,candidate_needs_gamma_validation
wc2026_r044,2026-06-15,Group H,Matchday 5,Saudi Arabia,Uruguay,ksa,uru,fifwc-ksa-uru-2026-06-15,https://gamma-api.polymarket.com/events/slug/fifwc-ksa-uru-2026-06-15,https://polymarket.com/event/fifwc-ksa-uru-2026-06-15#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-ksa-uru-2026-06-15,candidate_needs_gamma_validation
wc2026_r045,2026-06-21,Group H,Matchday 11,Spain,Saudi Arabia,esp,ksa,fifwc-esp-ksa-2026-06-21,https://gamma-api.polymarket.com/events/slug/fifwc-esp-ksa-2026-06-21,https://polymarket.com/event/fifwc-esp-ksa-2026-06-21#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-esp-ksa-2026-06-21,candidate_needs_gamma_validation
wc2026_r046,2026-06-21,Group H,Matchday 11,Uruguay,Cape Verde,uru,cpv,fifwc-uru-cpv-2026-06-21,https://gamma-api.polymarket.com/events/slug/fifwc-uru-cpv-2026-06-21,https://polymarket.com/event/fifwc-uru-cpv-2026-06-21#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-uru-cpv-2026-06-21,candidate_needs_gamma_validation
wc2026_r047,2026-06-26,Group H,Matchday 16,Cape Verde,Saudi Arabia,cpv,ksa,fifwc-cpv-ksa-2026-06-26,https://gamma-api.polymarket.com/events/slug/fifwc-cpv-ksa-2026-06-26,https://polymarket.com/event/fifwc-cpv-ksa-2026-06-26#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-cpv-ksa-2026-06-26,candidate_needs_gamma_validation
wc2026_r048,2026-06-26,Group H,Matchday 16,Uruguay,Spain,uru,esp,fifwc-uru-esp-2026-06-26,https://gamma-api.polymarket.com/events/slug/fifwc-uru-esp-2026-06-26,https://polymarket.com/event/fifwc-uru-esp-2026-06-26#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-uru-esp-2026-06-26,candidate_needs_gamma_validation
wc2026_r049,2026-06-16,Group I,Matchday 6,France,Senegal,fra,sen,fifwc-fra-sen-2026-06-16,https://gamma-api.polymarket.com/events/slug/fifwc-fra-sen-2026-06-16,https://polymarket.com/event/fifwc-fra-sen-2026-06-16#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-fra-sen-2026-06-16,candidate_needs_gamma_validation
wc2026_r050,2026-06-16,Group I,Matchday 6,Iraq,Norway,irq,nor,fifwc-irq-nor-2026-06-16,https://gamma-api.polymarket.com/events/slug/fifwc-irq-nor-2026-06-16,https://polymarket.com/event/fifwc-irq-nor-2026-06-16#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-irq-nor-2026-06-16,candidate_needs_gamma_validation
wc2026_r051,2026-06-22,Group I,Matchday 12,France,Iraq,fra,irq,fifwc-fra-irq-2026-06-22,https://gamma-api.polymarket.com/events/slug/fifwc-fra-irq-2026-06-22,https://polymarket.com/event/fifwc-fra-irq-2026-06-22#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-fra-irq-2026-06-22,candidate_needs_gamma_validation
wc2026_r052,2026-06-22,Group I,Matchday 12,Norway,Senegal,nor,sen,fifwc-nor-sen-2026-06-22,https://gamma-api.polymarket.com/events/slug/fifwc-nor-sen-2026-06-22,https://polymarket.com/event/fifwc-nor-sen-2026-06-22#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-nor-sen-2026-06-22,candidate_needs_gamma_validation
wc2026_r053,2026-06-26,Group I,Matchday 16,Norway,France,nor,fra,fifwc-nor-fra-2026-06-26,https://gamma-api.polymarket.com/events/slug/fifwc-nor-fra-2026-06-26,https://polymarket.com/event/fifwc-nor-fra-2026-06-26#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-nor-fra-2026-06-26,candidate_needs_gamma_validation
wc2026_r054,2026-06-26,Group I,Matchday 16,Senegal,Iraq,sen,irq,fifwc-sen-irq-2026-06-26,https://gamma-api.polymarket.com/events/slug/fifwc-sen-irq-2026-06-26,https://polymarket.com/event/fifwc-sen-irq-2026-06-26#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-sen-irq-2026-06-26,candidate_needs_gamma_validation
